codigo_variavel,nome_semantico,valor,descricao_valor,parte,meses
C007C,tipo_trabalho_cargo_funcao,23,"Auxiliar de produção, de carga e descarga;",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007C,tipo_trabalho_cargo_funcao,24,"Professor da educação infantil, de ensino fundamental, médio ou superior,",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007C,tipo_trabalho_cargo_funcao,25,"Pedagogo, professor de idiomas, música, arte e reforço escolar",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007C,tipo_trabalho_cargo_funcao,26,"Médico, enfermeiro, profissionais de saúde de nível superior",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007C,tipo_trabalho_cargo_funcao,27,"Técnico, profissional da saúde de nível médio",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007C,tipo_trabalho_cargo_funcao,28,"Cuidador de crianças, doentes ou idosos",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007C,tipo_trabalho_cargo_funcao,29,"Segurança, vigilante, outro trabalhador dos serviços de proteção",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007C,tipo_trabalho_cargo_funcao,3,"Auxiliar de escritório, escriturário",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007C,tipo_trabalho_cargo_funcao,30,Policial civil,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007C,tipo_trabalho_cargo_funcao,31,"Porteiro, zelador",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007C,tipo_trabalho_cargo_funcao,32,"Artista, religioso (padre, pastor etc.)",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007C,tipo_trabalho_cargo_funcao,33,"Diretor, gerente, cargo político ou comissionado",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007C,tipo_trabalho_cargo_funcao,34,"Outra profissão de nível superior (advogado, engenheiro, contador, jornalista etc.)",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007C,tipo_trabalho_cargo_funcao,35,Outro técnico ou profissional de nível médio,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007C,tipo_trabalho_cargo_funcao,36,Outros,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007C,tipo_trabalho_cargo_funcao,4,"Secretária, recepcionista",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007C,tipo_trabalho_cargo_funcao,5,Operador de Telemarketing,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007C,tipo_trabalho_cargo_funcao,6,"Comerciante (dono do bar, da loja etc.)",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007C,tipo_trabalho_cargo_funcao,7,"Balconista, vendedor de loja",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007C,tipo_trabalho_cargo_funcao,8,"Vendedor a domicílio, representante de vendas, vendedor de catálogo (Avon, Natura etc.)",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007C,tipo_trabalho_cargo_funcao,9,"Vendedor ambulante (feirante, camelô, comerciante de rua, quiosque)",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,1,"Agricultura, pecuária, produção florestal e pesca",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,10,"Armazenamento, correios e serviços de entregas",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,11,"Hospedagem (hotéis, pousadas etc.)",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,12,"Serviço de alimentação (bares, restaurantes, ambulantes de alimentação)",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,13,"Informação e comunicação (jornais, rádio e televisão, telecomunicações e informática)",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,14,"Bancos, atividades financeiras e de seguros",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,15,Atividades imobiliárias,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,16,"Escritórios de advocacia, engenharia, publicidade e veterinária (Atividades profissionais, científicas e técnicas)",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,17,"Atividades de locação de mão de obra, segurança, limpeza, paisagismo e teleatendimento",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,18,"Administração pública (governo federal, estadual e municipal)",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,19,Educação,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,2,"Extração de petróleo, carvão mineral, minerais metálicos, pedra, areia, sal etc.",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,20,Saúde humana e assistência social,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,21,"Organizações religiosas, sindicatos e associações",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,22,"Atividade artísticas, esportivas e de recreação",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,23,"Cabeleireiros, tratamento de beleza e serviços pessoais",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,24,Serviço doméstico remunerado (será imputado da posição na ocupação),Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,25,Outro,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,3,Indústria da transformação (inclusive confecção e fabricação caseira),Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,4,"Fornecimento de eletricidade e gás, água, esgoto e coleta de lixo",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,5,Construção,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,6,Comércio no atacado e varejo;,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,7,Reparação de veículos automotores e motocicletas,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,8,Transporte de passageiros,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007D,principal_atividade_local_empresa_trabalha,9,Transporte de mercadorias,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007E,semana_passada_quantos_empregados_trabalhavam_negocio,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007E,semana_passada_quantos_empregados_trabalhavam_negocio,1,1 a 5 empregados,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007E,semana_passada_quantos_empregados_trabalhavam_negocio,2,6 a 10 empregados,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007E,semana_passada_quantos_empregados_trabalhavam_negocio,3,11 ou mais empregados,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007E1,1_5_empregados,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007E1,1_5_empregados,1 a 5,1 a 5 empregados,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007E2,6_10_empregados,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007E2,6_10_empregados,06 a 10,06 a 10 empregados,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007F,trabalho_unico_principal_semana_contrato_trabalho_suspenso,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007F,trabalho_unico_principal_semana_contrato_trabalho_suspenso,1,Sim,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C007F,trabalho_unico_principal_semana_contrato_trabalho_suspenso,2,Não,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C008,horas_habituais_trabalhadas,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C008,horas_habituais_trabalhadas,001 a 120,Horas,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C009,horas_efetivas_trabalhadas,000 a 120,Horas,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C009A,semana_passada_gostaria_ter_trabalhado_horas_fato,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C009A,semana_passada_gostaria_ter_trabalhado_horas_fato,1,Sim,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C009A,semana_passada_gostaria_ter_trabalhado_horas_fato,2,Não,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C010,quanto_recebia_habitualmente,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C010,quanto_recebia_habitualmente,1,Indica se o quesito foi respondido,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C0101,recebia_retirava_normalmente_dinheiro,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C0101,recebia_retirava_normalmente_dinheiro,1,Em dinheiro,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01011,numero_faixa_rendimento_retirada_dinheiro,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01011,numero_faixa_rendimento_retirada_dinheiro,0,0 - 100,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01011,numero_faixa_rendimento_retirada_dinheiro,1,101 - 300,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01011,numero_faixa_rendimento_retirada_dinheiro,2,301 - 600,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01011,numero_faixa_rendimento_retirada_dinheiro,3,601 - 800,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01011,numero_faixa_rendimento_retirada_dinheiro,4,801 - 1.600,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01011,numero_faixa_rendimento_retirada_dinheiro,5,1.601 - 3.000,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01011,numero_faixa_rendimento_retirada_dinheiro,6,3.001 - 10.000,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01011,numero_faixa_rendimento_retirada_dinheiro,7,10.001 - 50.000,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01011,numero_faixa_rendimento_retirada_dinheiro,8,50.001 - 100.000,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01011,numero_faixa_rendimento_retirada_dinheiro,9,Mais de 100.000,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01012,valor_dinheiro,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01012,valor_dinheiro,valor em reais,R$,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C0102,recebia_normalmente_produtos_mercadorias,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C0102,recebia_normalmente_produtos_mercadorias,2,Em produtos ou mercadorias,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01021,numero_faixa_rendimento_retirada_produtos_mercadorias,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01021,numero_faixa_rendimento_retirada_produtos_mercadorias,0,0 - 100,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01021,numero_faixa_rendimento_retirada_produtos_mercadorias,1,101 - 300,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01021,numero_faixa_rendimento_retirada_produtos_mercadorias,2,301 - 600,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01021,numero_faixa_rendimento_retirada_produtos_mercadorias,3,601 - 800,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01021,numero_faixa_rendimento_retirada_produtos_mercadorias,4,801 - 1.600,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01021,numero_faixa_rendimento_retirada_produtos_mercadorias,5,1.601 - 3.000,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01021,numero_faixa_rendimento_retirada_produtos_mercadorias,6,3.001 - 10.000,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01021,numero_faixa_rendimento_retirada_produtos_mercadorias,7,10.001 - 50.000,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01021,numero_faixa_rendimento_retirada_produtos_mercadorias,8,50.001 - 100.000,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01021,numero_faixa_rendimento_retirada_produtos_mercadorias,9,Mais de 100.000,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01022,valor_produtos_mercadorias,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C01022,valor_produtos_mercadorias,valor em reais,R$,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C0103,recebia_normalmente_somente_beneficios,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C0103,recebia_normalmente_somente_beneficios,3,Em benefícios,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C0104,nao_remunerado,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C0104,nao_remunerado,4,Não remunerado,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A,renda_habitual_trabalho_principal,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A,renda_habitual_trabalho_principal,1,Indica se o quesito foi respondido,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A1,recebia_retirava_efetivamente_dinheiro,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A1,recebia_retirava_efetivamente_dinheiro,1,Em dinheiro,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A11,numero_faixa_rendimento_retirada_dinheiro_2,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A11,numero_faixa_rendimento_retirada_dinheiro_2,0,0 - 100,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A11,numero_faixa_rendimento_retirada_dinheiro_2,1,101 - 300,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A11,numero_faixa_rendimento_retirada_dinheiro_2,2,301 - 600,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A11,numero_faixa_rendimento_retirada_dinheiro_2,3,601 - 800,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A11,numero_faixa_rendimento_retirada_dinheiro_2,4,801 - 1.600,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A11,numero_faixa_rendimento_retirada_dinheiro_2,5,1.601 - 3.000,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A11,numero_faixa_rendimento_retirada_dinheiro_2,6,3.001 - 10.000,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A11,numero_faixa_rendimento_retirada_dinheiro_2,7,10.001 - 50.000,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A11,numero_faixa_rendimento_retirada_dinheiro_2,8,50.001 - 100.000,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A11,numero_faixa_rendimento_retirada_dinheiro_2,9,Mais de 100.000,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A12,renda_efetiva_trabalho_principal,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A12,renda_efetiva_trabalho_principal,valor em reais,R$,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A2,recebia_efetivamente_produtos_mercadorias,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A2,recebia_efetivamente_produtos_mercadorias,2,Em produtos ou mercadorias,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A21,numero_faixa_rendimento_retirada_produtos_mercadorias_2,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A21,numero_faixa_rendimento_retirada_produtos_mercadorias_2,0,0 - 100,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A21,numero_faixa_rendimento_retirada_produtos_mercadorias_2,1,101 - 300,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A21,numero_faixa_rendimento_retirada_produtos_mercadorias_2,2,301 - 600,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A21,numero_faixa_rendimento_retirada_produtos_mercadorias_2,3,601 - 800,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A21,numero_faixa_rendimento_retirada_produtos_mercadorias_2,4,801 - 1.600,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A21,numero_faixa_rendimento_retirada_produtos_mercadorias_2,5,1.601 - 3.000,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A21,numero_faixa_rendimento_retirada_produtos_mercadorias_2,6,3.001 - 10.000,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A21,numero_faixa_rendimento_retirada_produtos_mercadorias_2,7,10.001 - 50.000,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A21,numero_faixa_rendimento_retirada_produtos_mercadorias_2,8,50.001 - 100.000,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A21,numero_faixa_rendimento_retirada_produtos_mercadorias_2,9,Mais de 100.000,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A22,valor_produtos_mercadorias_2,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C011A22,valor_produtos_mercadorias_2,valor em reais,R$,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C012,maior_parte_tempo_semana_passada_trabalho_unico_principal,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C012,maior_parte_tempo_semana_passada_trabalho_unico_principal,1,Sim,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C012,maior_parte_tempo_semana_passada_trabalho_unico_principal,2,Não,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C013,fez_home_office,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C013,fez_home_office,1,Sim,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C013,fez_home_office,2,Não,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C014,contribui_inss,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C014,contribui_inss,1,Sim,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C014,contribui_inss,2,Não,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C015,procurou_trabalho_semana,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C015,procurou_trabalho_semana,1,Sim,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C015,procurou_trabalho_semana,2,Não,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C016,principal_motivo_nao_ter_procurado_trabalho_semana_passada,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C016,principal_motivo_nao_ter_procurado_trabalho_semana_passada,1,"Devido à pandemia (isolamento, quarentena ou distanciamento social)",Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C016,principal_motivo_nao_ter_procurado_trabalho_semana_passada,10,Outro motivo,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C016,principal_motivo_nao_ter_procurado_trabalho_semana_passada,2,Por problemas de saúde ou gravidez,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C016,principal_motivo_nao_ter_procurado_trabalho_semana_passada,3,Estava estudando,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C016,principal_motivo_nao_ter_procurado_trabalho_semana_passada,4,Não quer trabalhar ou é aposentado,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C016,principal_motivo_nao_ter_procurado_trabalho_semana_passada,5,Não tinha experiência profissional ou qualificação,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C016,principal_motivo_nao_ter_procurado_trabalho_semana_passada,6,Acha que não vai encontrar trabalho por ser muito jovem ou idoso,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C016,principal_motivo_nao_ter_procurado_trabalho_semana_passada,7,Não havia trabalho na localidade,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C016,principal_motivo_nao_ter_procurado_trabalho_semana_passada,8,Tinha que cuidar dos afazeres domésticos e ou de parentes,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C016,principal_motivo_nao_ter_procurado_trabalho_semana_passada,9,Estava aguardando resposta de medida tomada para conseguir trabalho,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C017A,embora_nao_tenha_procurado_trabalho_gostaria_ter_trabalhado,,Não aplicável,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C017A,embora_nao_tenha_procurado_trabalho_gostaria_ter_trabalhado,1,Sim,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
C017A,embora_nao_tenha_procurado_trabalho_gostaria_ter_trabalhado,2,Não,Parte C - Características de trabalho das pessoas de 14 anos ou mais de idade,"092020,102020,112020"
CAPITAL,mora_na_capital,11,Município de Porto Velho (RO),Parte 1 - Identificação e Controle,"092020,102020,112020"
CAPITAL,mora_na_capital,12,Município de Rio Branco (AC),Parte 1 - Identificação e Controle,"092020,102020,112020"
CAPITAL,mora_na_capital,13,Município de Manaus (AM),Parte 1 - Identificação e Controle,"092020,102020,112020"
CAPITAL,mora_na_capital,14,Município de Boa Vista (RR),Parte 1 - Identificação e Controle,"092020,102020,112020"
CAPITAL,mora_na_capital,15,Município de Belém (PA),Parte 1 - Identificação e Controle,"092020,102020,112020"
CAPITAL,mora_na_capital,16,Município de Macapá (AP),Parte 1 - Identificação e Controle,"092020,102020,112020"
CAPITAL,mora_na_capital,17,Município de Palmas (TO),Parte 1 - Identificação e Controle,"092020,102020,112020"
CAPITAL,mora_na_capital,21,Município de São Luís (MA),Parte 1 - Identificação e Controle,"092020,102020,112020"
CAPITAL,mora_na_capital,22,Município de Teresina (PI),Parte 1 - Identificação e Controle,"092020,102020,112020"
CAPITAL,mora_na_capital,23,Município de Fortaleza (CE),Parte 1 - Identificação e Controle,"092020,102020,112020"
CAPITAL,mora_na_capital,24,Município de Natal (RN),Parte 1 - Identificação e Controle,"092020,102020,112020"
CAPITAL,mora_na_capital,25,Município de João Pessoa (PB),Parte 1 - Identificação e Controle,"092020,102020,112020"
CAPITAL,mora_na_capital,26,Município de Recife (PE),Parte 1 - Identificação e Controle,"092020,102020,112020"
CAPITAL,mora_na_capital,27,Município de Maceió (AL),Parte 1 - Identificação e Controle,"092020,102020,112020"
CAPITAL,mora_na_capital,28,Município de Aracaju (SE),Parte 1 - Identificação e Controle,"092020,102020,112020"
CAPITAL,mora_na_capital,29,Município de Salvador (BA),Parte 1 - Identificação e Controle,"092020,102020,112020"
CAPITAL,mora_na_capital,31,Município de Belo Horizonte (MG),Parte 1 - Identificação e Controle,"092020,102020,112020"
CAPITAL,mora_na_capital,32,Município de Vitória (ES),Parte 1 - Identificação e Controle,"092020,102020,112020"
CAPITAL,mora_na_capital,33,Município de Rio de Janeiro (RJ),Parte 1 - Identificação e Controle,"092020,102020,112020"
CAPITAL,mora_na_capital,35,Município de São Paulo (SP),Parte 1 - Identificação e Controle,"092020,102020,112020"
CAPITAL,mora_na_capital,41,Município de Curitiba (PR),Parte 1 - Identificação e Controle,"092020,102020,112020"
CAPITAL,mora_na_capital,42,Município de Florianópolis (SC),Parte 1 - Identificação e Controle,"092020,102020,112020"
CAPITAL,mora_na_capital,43,Município de Porto Alegre (RS),Parte 1 - Identificação e Controle,"092020,102020,112020"
