codigo_variavel,nome_semantico,descricao_variavel,bloco,tipo,dominio,tamanho,quesito,parte,meses
B0016,sintoma_dor_peito,Na semana passada teve dor no peito?,saude,integer,,1,B1,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B0017,sintoma_nausea,Na semana passada teve náusea?,saude,integer,,1,B1,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B0018,sintoma_nariz_entupido,Na semana passada teve nariz entupido ou escorrendo?,saude,integer,,1,B1,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B0019,sintoma_fadiga,Na semana passada teve fadiga?,saude,integer,,1,B1,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B0036,providencia_tomada_recuperar_sintomas_receber_visita,Providência tomada para recuperar dos sintomas foi receber visita de profissional de saúde particular,saude,integer,,1,B3,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B0037,providencia_tomada_recuperar_sintomas,Providência tomada para recuperar dos sintomas foi outra,saude,integer,,1,B3,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B0041,local_buscou_atendimento_posto_saude_unidade_basica_saude,"Local que buscou atendimento foi posto de saúde/Unidade básica de saúde /Equipe de Saúde da Família (médico, enfermeiro, técnico de enfermagem ou agente comunitário de saúde)",saude,integer,,1,B4,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B0042,local_buscou_atendimento_pronto_socorro_sus_upa,Local que buscou atendimento foi pronto socorro do SUS/UPA,saude,integer,,1,B4,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B0043,local_buscou_atendimento_hospital_sus,Local que buscou atendimento foi hospital do SUS,saude,integer,,1,B4,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B0044,local_buscou_atendimento_ambulatorio_consultorio_privado,Local que buscou atendimento foi ambulatório ou consultório privado ou ligado às forças armadas,saude,integer,,1,B4,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B0045,local_buscou_atendimento_pronto_socorro_privado_ligado,Local que buscou atendimento foi pronto socorro privado ou ligado às forças armadas,saude,integer,,1,B4,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B0046,local_buscou_atendimento_hospital_privado_ligado_forcas,Local que buscou atendimento foi hospital privado ou ligado às forças armadas,saude,integer,,1,B4,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B005,foi_sedado_intubado,"Ao procurar o hospital, teve que ficar internado por um dia ou mais",saude,integer,,1,B5,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B008,fez_teste_covid,O(A) Sr(a) fez algum teste para saber se estava infectado(a) pelo coronavírus?,saude,integer,,1,B8,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B009A,fez_exame_coletado_cotonete_boca_nariz_swab,Fez o exame coletado com cotonete na boca e/ou nariz (SWAB)?,saude,integer,,1,B9A,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B009B,resultado,Qual o resultado?,saude,integer,,1,B9B,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B009C,fez_exame_coleta_sangue_atraves_furo_dedo,Fez o exame de coleta de sangue através de furo no dedo?,saude,integer,,1,B9C,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B009D,resultado_2,Qual o resultado?,saude,integer,,1,B9D,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B009E,fez_exame_coleta_sangue_atraves_veia_braco,Fez o exame de coleta de sangue através da veia da braço?,saude,integer,,1,B9E,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B009F,resultado_teste_positivo,Qual o resultado?,saude,integer,,1,B9F,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B0101,medico_deu_diagnostico_diabetes,Algum médico já lhe deu o diagnóstico de diabetes?,saude,integer,,1,B10,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B0102,medico_deu_diagnostico_hipertensao,Algum médico já lhe deu o diagnóstico de hipertensão?,saude,integer,,1,B10,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B0103,medico_deu_diagnostico_asma_bronquite_enfisema_doencas,Algum médico já lhe deu o diagnóstico de asma/bronquite/enfisema/doenças respiratória crônica ou doença de pulmão?,saude,integer,,1,B10,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B0104,medico_deu_diagnostico_doencas_coracao_infarto_angina,"Algum médico já lhe deu o diagnóstico de doenças do coração (infarto, angina, insuficiência cardíaca, arritmia)?",saude,integer,,1,B10,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B0105,medico_deu_diagnostico_depressao,Algum médico já lhe deu o diagnóstico de depressão?,saude,integer,,1,B10,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B0106,medico_deu_diagnostico_cancer,Algum médico já lhe deu o diagnóstico de câncer?,saude,integer,,1,B10,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
B011,restricao_contato_pessoas_pandemia,"Qual foi o resultado do teste? Na semana passada, devido à pandemia do Coronavírus, em que medida o(a) Sr(a) restringiu o contato com as pessoas?",saude,integer,,1,B11,Parte B - COVID19 - Todos os moradores,"092020,102020,112020"
