MES_REF;regiao;pct_sintoma_gripal
2020-09;Centro-Oeste;3.3
2020-09;Norte;3.3
2020-09;Sul;2.85
2020-09;Sudeste;2.42
2020-09;Nordeste;2.38
2020-10;Norte;3.15
2020-10;Centro-Oeste;2.67
2020-10;Sul;2.36
2020-10;Nordeste;2.1
2020-10;Sudeste;2.01
2020-11;Sul;2.85
2020-11;Norte;2.68
2020-11;Centro-Oeste;2.46
2020-11;Sudeste;2.4
2020-11;Nordeste;2.18
