MES_REF;regiao;renda_efetiva_media
2020-09;Nordeste;1612.75
2020-09;Norte;1674.36
2020-09;Centro-Oeste;2345.36
2020-09;Sul;2431.5
2020-09;Sudeste;2521.89
2020-10;Nordeste;1621.67
2020-10;Norte;1735.53
2020-10;Centro-Oeste;2371.26
2020-10;Sul;2448.39
2020-10;Sudeste;2552.52
2020-11;Nordeste;1645.31
2020-11;Norte;1728.95
2020-11;Centro-Oeste;2378.26
2020-11;Sul;2490.96
2020-11;Sudeste;2546.77
