MES_REF;regiao;pct_home_office
2020-09;Sudeste;6.14
2020-09;Sul;4.57
2020-09;Centro-Oeste;3.86
2020-09;Nordeste;2.57
2020-09;Norte;1.57
2020-10;Sudeste;5.79
2020-10;Sul;4.19
2020-10;Centro-Oeste;3.76
2020-10;Nordeste;2.42
2020-10;Norte;1.55
2020-11;Sudeste;5.54
2020-11;Sul;4.11
2020-11;Centro-Oeste;3.5
2020-11;Nordeste;2.37
2020-11;Norte;1.51
